governor,state,time_in_office,party,year
Judy Martz,Montana,2001 - 2005,Republican,2001
Judy Martz,Montana,2001 - 2005,Republican,2002
Judy Martz,Montana,2001 - 2005,Republican,2003
Judy Martz,Montana,2001 - 2005,Republican,2004
Judy Martz,Montana,2001 - 2005,Republican,2005
Rick Perry,Texas,2000 - 2015,Republican,2000
Rick Perry,Texas,2000 - 2015,Republican,2001
Rick Perry,Texas,2000 - 2015,Republican,2002
Rick Perry,Texas,2000 - 2015,Republican,2003
Rick Perry,Texas,2000 - 2015,Republican,2004
Rick Perry,Texas,2000 - 2015,Republican,2005
Rick Perry,Texas,2000 - 2015,Republican,2006
Rick Perry,Texas,2000 - 2015,Republican,2007
Rick Perry,Texas,2000 - 2015,Republican,2008
Rick Perry,Texas,2000 - 2015,Republican,2009
Rick Perry,Texas,2000 - 2015,Republican,2010
Rick Perry,Texas,2000 - 2015,Republican,2011
Rick Perry,Texas,2000 - 2015,Republican,2012
Rick Perry,Texas,2000 - 2015,Republican,2013
Rick Perry,Texas,2000 - 2015,Republican,2014
Rick Perry,Texas,2000 - 2015,Republican,2015
John Hoeven,North Dakota,2000 - 2010,Republican,2000
John Hoeven,North Dakota,2000 - 2010,Republican,2001
John Hoeven,North Dakota,2000 - 2010,Republican,2002
John Hoeven,North Dakota,2000 - 2010,Republican,2003
John Hoeven,North Dakota,2000 - 2010,Republican,2004
John Hoeven,North Dakota,2000 - 2010,Republican,2005
John Hoeven,North Dakota,2000 - 2010,Republican,2006
John Hoeven,North Dakota,2000 - 2010,Republican,2007
John Hoeven,North Dakota,2000 - 2010,Republican,2008
John Hoeven,North Dakota,2000 - 2010,Republican,2009
John Hoeven,North Dakota,2000 - 2010,Republican,2010
Roger B. Wilson,Missouri,2000 - 2001,Democrat,2000
Roger B. Wilson,Missouri,2000 - 2001,Democrat,2001
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2000
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2001
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2002
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2003
David Ronald “Ronnie” Musgrove,Mississippi,2000 - 2004,Democrat,2004
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,1999
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2000
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2001
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2002
Donald Eugene Siegelman,Alabama,1999 - 2003,Democrat,2003
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,1999
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2000
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2001
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2002
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2003
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2004
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2005
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2006
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2007
Bill Owens,Colorado,1999 - 2007,Republican,1999
Bill Owens,Colorado,1999 - 2007,Republican,2000
Bill Owens,Colorado,1999 - 2007,Republican,2001
Bill Owens,Colorado,1999 - 2007,Republican,2002
Bill Owens,Colorado,1999 - 2007,Republican,2003
Bill Owens,Colorado,1999 - 2007,Republican,2004
Bill Owens,Colorado,1999 - 2007,Republican,2005
Bill Owens,Colorado,1999 - 2007,Republican,2006
Bill Owens,Colorado,1999 - 2007,Republican,2007
Roy E. Barnes,Georgia,1999 - 2003,Democrat,1999
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2000
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2001
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2002
Roy E. Barnes,Georgia,1999 - 2003,Democrat,2003
George H. Ryan,Illinois,1999 - 2003,Republican,1999
George H. Ryan,Illinois,1999 - 2003,Republican,2000
George H. Ryan,Illinois,1999 - 2003,Republican,2001
George H. Ryan,Illinois,1999 - 2003,Republican,2002
George H. Ryan,Illinois,1999 - 2003,Republican,2003
Dirk Kempthorne,Idaho,1999 - 2006,Republican,1999
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2000
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2001
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2002
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2003
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2004
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2005
Dirk Kempthorne,Idaho,1999 - 2006,Republican,2006
Mike Johanns,Nebraska,1999 - 2005,Republican,1999
Mike Johanns,Nebraska,1999 - 2005,Republican,2000
Mike Johanns,Nebraska,1999 - 2005,Republican,2001
Mike Johanns,Nebraska,1999 - 2005,Republican,2002
Mike Johanns,Nebraska,1999 - 2005,Republican,2003
Mike Johanns,Nebraska,1999 - 2005,Republican,2004
Mike Johanns,Nebraska,1999 - 2005,Republican,2005
Jeb Bush,Florida,1999 - 2007,Republican,1999
Jeb Bush,Florida,1999 - 2007,Republican,2000
Jeb Bush,Florida,1999 - 2007,Republican,2001
Jeb Bush,Florida,1999 - 2007,Republican,2002
Jeb Bush,Florida,1999 - 2007,Republican,2003
Jeb Bush,Florida,1999 - 2007,Republican,2004
Jeb Bush,Florida,1999 - 2007,Republican,2005
Jeb Bush,Florida,1999 - 2007,Republican,2006
Jeb Bush,Florida,1999 - 2007,Republican,2007
Kenny Guinn,Nevada,1999 - 2007,Republican,1999
Kenny Guinn,Nevada,1999 - 2007,Republican,2000
Kenny Guinn,Nevada,1999 - 2007,Republican,2001
Kenny Guinn,Nevada,1999 - 2007,Republican,2002
Kenny Guinn,Nevada,1999 - 2007,Republican,2003
Kenny Guinn,Nevada,1999 - 2007,Republican,2004
Kenny Guinn,Nevada,1999 - 2007,Republican,2005
Kenny Guinn,Nevada,1999 - 2007,Republican,2006
Kenny Guinn,Nevada,1999 - 2007,Republican,2007
Jesse Ventura,Minnesota,1999 - 2003,Independent,1999
Jesse Ventura,Minnesota,1999 - 2003,Independent,2000
Jesse Ventura,Minnesota,1999 - 2003,Independent,2001
Jesse Ventura,Minnesota,1999 - 2003,Independent,2002
Jesse Ventura,Minnesota,1999 - 2003,Independent,2003
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,1999
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2000
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2001
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2002
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2003
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2004
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2005
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2006
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2007
Gray Davis,California,1999 - 2003,Democrat,1999
Gray Davis,California,1999 - 2003,Democrat,2000
Gray Davis,California,1999 - 2003,Democrat,2001
Gray Davis,California,1999 - 2003,Democrat,2002
Gray Davis,California,1999 - 2003,Democrat,2003
Bob Taft,Ohio,1999 - 2007,Republican,1999
Bob Taft,Ohio,1999 - 2007,Republican,2000
Bob Taft,Ohio,1999 - 2007,Republican,2001
Bob Taft,Ohio,1999 - 2007,Republican,2002
Bob Taft,Ohio,1999 - 2007,Republican,2003
Bob Taft,Ohio,1999 - 2007,Republican,2004
Bob Taft,Ohio,1999 - 2007,Republican,2005
Bob Taft,Ohio,1999 - 2007,Republican,2006
Bob Taft,Ohio,1999 - 2007,Republican,2007
Jim Hodges,South Carolina,1999 - 2003,Democrat,1999
Jim Hodges,South Carolina,1999 - 2003,Democrat,2000
Jim Hodges,South Carolina,1999 - 2003,Democrat,2001
Jim Hodges,South Carolina,1999 - 2003,Democrat,2002
Jim Hodges,South Carolina,1999 - 2003,Democrat,2003
Nancy P. Hollister,Ohio,1998 - 1999,Republican,1998
Nancy P. Hollister,Ohio,1998 - 1999,Republican,1999
Kenneth Hood Mackay,Florida,1998 - 1999,Democrat,1998
Kenneth Hood Mackay,Florida,1998 - 1999,Democrat,1999
James S. Gilmore,Virginia,1998 - 2002,Republican,1998
James S. Gilmore,Virginia,1998 - 2002,Republican,1999
James S. Gilmore,Virginia,1998 - 2002,Republican,2000
James S. Gilmore,Virginia,1998 - 2002,Republican,2001
James S. Gilmore,Virginia,1998 - 2002,Republican,2002
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,1998
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,1999
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,2000
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,2001
Pedro P. Tenorio,Northern Mariana Islands,1998 - 2002,Republican,2002
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1982
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1983
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1984
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1985
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1986
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1987
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1988
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1989
Pedro P. Tenorio,Northern Mariana Islands,1982 - 1990,Republican,1990
Jane Dee Hull,Arizona,1997 - 2003,Republican,1997
Jane Dee Hull,Arizona,1997 - 2003,Republican,1998
Jane Dee Hull,Arizona,1997 - 2003,Republican,1999
Jane Dee Hull,Arizona,1997 - 2003,Republican,2000
Jane Dee Hull,Arizona,1997 - 2003,Republican,2001
Jane Dee Hull,Arizona,1997 - 2003,Republican,2002
Jane Dee Hull,Arizona,1997 - 2003,Republican,2003
Argeo Paul Cellucci,Massachusetts,1997 - 2001,Republican,1997
Argeo Paul Cellucci,Massachusetts,1997 - 2001,Republican,1998
Argeo Paul Cellucci,Massachusetts,1997 - 2001,Republican,1999
Argeo Paul Cellucci,Massachusetts,1997 - 2001,Republican,2000
Argeo Paul Cellucci,Massachusetts,1997 - 2001,Republican,2001
Gary Locke,Washington,1997 - 2005,Democrat,1997
Gary Locke,Washington,1997 - 2005,Democrat,1998
Gary Locke,Washington,1997 - 2005,Democrat,1999
Gary Locke,Washington,1997 - 2005,Democrat,2000
Gary Locke,Washington,1997 - 2005,Democrat,2001
Gary Locke,Washington,1997 - 2005,Democrat,2002
Gary Locke,Washington,1997 - 2005,Democrat,2003
Gary Locke,Washington,1997 - 2005,Democrat,2004
Gary Locke,Washington,1997 - 2005,Democrat,2005
Frank O’Bannon,Indiana,1997 - 2003,Democrat,1997
Frank O’Bannon,Indiana,1997 - 2003,Democrat,1998
Frank O’Bannon,Indiana,1997 - 2003,Democrat,1999
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2000
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2001
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2002
Frank O’Bannon,Indiana,1997 - 2003,Democrat,2003
Cecil H. Underwood,West Virginia,1997 - 2001,Republican,1997
Cecil H. Underwood,West Virginia,1997 - 2001,Republican,1998
Cecil H. Underwood,West Virginia,1997 - 2001,Republican,1999
Cecil H. Underwood,West Virginia,1997 - 2001,Republican,2000
Cecil H. Underwood,West Virginia,1997 - 2001,Republican,2001
Cecil H. Underwood,West Virginia,1957 - 1961,Republican,1957
Cecil H. Underwood,West Virginia,1957 - 1961,Republican,1958
Cecil H. Underwood,West Virginia,1957 - 1961,Republican,1959
Cecil H. Underwood,West Virginia,1957 - 1961,Republican,1960
Cecil H. Underwood,West Virginia,1957 - 1961,Republican,1961
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,1997
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,1998
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,1999
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2000
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2001
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2002
Jeanne Shaheen,New Hampshire,1997 - 2003,Democrat,2003
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,1997
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,1998
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,1999
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2000
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2001
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2002
Tauese P. F. Sunia,American Samoa,1997 - 2003,Democrat,2003
Mike Huckabee,Arkansas,1996 - 2007,Republican,1996
Mike Huckabee,Arkansas,1996 - 2007,Republican,1997
Mike Huckabee,Arkansas,1996 - 2007,Republican,1998
Mike Huckabee,Arkansas,1996 - 2007,Republican,1999
Mike Huckabee,Arkansas,1996 - 2007,Republican,2000
Mike Huckabee,Arkansas,1996 - 2007,Republican,2001
Mike Huckabee,Arkansas,1996 - 2007,Republican,2002
Mike Huckabee,Arkansas,1996 - 2007,Republican,2003
Mike Huckabee,Arkansas,1996 - 2007,Republican,2004
Mike Huckabee,Arkansas,1996 - 2007,Republican,2005
Mike Huckabee,Arkansas,1996 - 2007,Republican,2006
Mike Huckabee,Arkansas,1996 - 2007,Republican,2007
Paul E. Patton,Kentucky,1995 - 2003,Democrat,1995
Paul E. Patton,Kentucky,1995 - 2003,Democrat,1996
Paul E. Patton,Kentucky,1995 - 2003,Democrat,1997
Paul E. Patton,Kentucky,1995 - 2003,Democrat,1998
Paul E. Patton,Kentucky,1995 - 2003,Democrat,1999
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2000
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2001
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2002
Paul E. Patton,Kentucky,1995 - 2003,Democrat,2003
Parris N. Glendening,Maryland,1995 - 2003,Democrat,1995
Parris N. Glendening,Maryland,1995 - 2003,Democrat,1996
Parris N. Glendening,Maryland,1995 - 2003,Democrat,1997
Parris N. Glendening,Maryland,1995 - 2003,Democrat,1998
Parris N. Glendening,Maryland,1995 - 2003,Democrat,1999
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2000
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2001
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2002
Parris N. Glendening,Maryland,1995 - 2003,Democrat,2003
George W. Bush,Texas,1995 - 2000,Republican,1995
George W. Bush,Texas,1995 - 2000,Republican,1996
George W. Bush,Texas,1995 - 2000,Republican,1997
George W. Bush,Texas,1995 - 2000,Republican,1998
George W. Bush,Texas,1995 - 2000,Republican,1999
George W. Bush,Texas,1995 - 2000,Republican,2000
Tom Ridge,Pennsylvania,1995 - 2001,Republican,1995
Tom Ridge,Pennsylvania,1995 - 2001,Republican,1996
Tom Ridge,Pennsylvania,1995 - 2001,Republican,1997
Tom Ridge,Pennsylvania,1995 - 2001,Republican,1998
Tom Ridge,Pennsylvania,1995 - 2001,Republican,1999
Tom Ridge,Pennsylvania,1995 - 2001,Republican,2000
Tom Ridge,Pennsylvania,1995 - 2001,Republican,2001
Forrest Hood James,Alabama,1995 - 1999,Republican,1995
Forrest Hood James,Alabama,1995 - 1999,Republican,1996
Forrest Hood James,Alabama,1995 - 1999,Republican,1997
Forrest Hood James,Alabama,1995 - 1999,Republican,1998
Forrest Hood James,Alabama,1995 - 1999,"Democrat, Republican",1999
Forrest Hood James,Alabama,1979 - 1983,Democrat,1979
Forrest Hood James,Alabama,1979 - 1983,Democrat,1980
Forrest Hood James,Alabama,1979 - 1983,Democrat,1981
Forrest Hood James,Alabama,1979 - 1983,Democrat,1982
Forrest Hood James,Alabama,1979 - 1983,"Democrat, Republican",1983
Don Sundquist,Tennessee,1995 - 2003,Republican,1995
Don Sundquist,Tennessee,1995 - 2003,Republican,1996
Don Sundquist,Tennessee,1995 - 2003,Republican,1997
Don Sundquist,Tennessee,1995 - 2003,Republican,1998
Don Sundquist,Tennessee,1995 - 2003,Republican,1999
Don Sundquist,Tennessee,1995 - 2003,Republican,2000
Don Sundquist,Tennessee,1995 - 2003,Republican,2001
Don Sundquist,Tennessee,1995 - 2003,Republican,2002
Don Sundquist,Tennessee,1995 - 2003,Republican,2003
David M. Beasley,South Carolina,1995 - 1999,Republican,1995
David M. Beasley,South Carolina,1995 - 1999,Republican,1996
David M. Beasley,South Carolina,1995 - 1999,Republican,1997
David M. Beasley,South Carolina,1995 - 1999,Republican,1998
David M. Beasley,South Carolina,1995 - 1999,Republican,1999
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,1995
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,1996
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,1997
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,1998
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,1999
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2000
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2001
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2002
Francis Anthony Keating,Oklahoma,1995 - 2003,Republican,2003
Bill Graves,Kansas,1995 - 2003,Republican,1995
Bill Graves,Kansas,1995 - 2003,Republican,1996
Bill Graves,Kansas,1995 - 2003,Republican,1997
Bill Graves,Kansas,1995 - 2003,Republican,1998
Bill Graves,Kansas,1995 - 2003,Republican,1999
Bill Graves,Kansas,1995 - 2003,Republican,2000
Bill Graves,Kansas,1995 - 2003,Republican,2001
Bill Graves,Kansas,1995 - 2003,Republican,2002
Bill Graves,Kansas,1995 - 2003,Republican,2003
William J. Janklow,South Dakota,1995 - 2003,Republican,1995
William J. Janklow,South Dakota,1995 - 2003,Republican,1996
William J. Janklow,South Dakota,1995 - 2003,Republican,1997
William J. Janklow,South Dakota,1995 - 2003,Republican,1998
William J. Janklow,South Dakota,1995 - 2003,Republican,1999
William J. Janklow,South Dakota,1995 - 2003,Republican,2000
William J. Janklow,South Dakota,1995 - 2003,Republican,2001
William J. Janklow,South Dakota,1995 - 2003,Republican,2002
William J. Janklow,South Dakota,1995 - 2003,Republican,2003
William J. Janklow,South Dakota,1979 - 1987,Republican,1979
William J. Janklow,South Dakota,1979 - 1987,Republican,1980
William J. Janklow,South Dakota,1979 - 1987,Republican,1981
William J. Janklow,South Dakota,1979 - 1987,Republican,1982
William J. Janklow,South Dakota,1979 - 1987,Republican,1983
William J. Janklow,South Dakota,1979 - 1987,Republican,1984
William J. Janklow,South Dakota,1979 - 1987,Republican,1985
William J. Janklow,South Dakota,1979 - 1987,Republican,1986
William J. Janklow,South Dakota,1979 - 1987,Republican,1987
Roy Lester Schneider,Virgin Islands,1995 - 1999,Republican,1995
Roy Lester Schneider,Virgin Islands,1995 - 1999,Republican,1996
Roy Lester Schneider,Virgin Islands,1995 - 1999,Republican,1997
Roy Lester Schneider,Virgin Islands,1995 - 1999,Republican,1998
Roy Lester Schneider,Virgin Islands,1995 - 1999,Republican,1999
Angus S. King,Maine,1995 - 2003,Independent,1995
Angus S. King,Maine,1995 - 2003,Independent,1996
Angus S. King,Maine,1995 - 2003,Independent,1997
Angus S. King,Maine,1995 - 2003,Independent,1998
Angus S. King,Maine,1995 - 2003,Independent,1999
Angus S. King,Maine,1995 - 2003,Independent,2000
Angus S. King,Maine,1995 - 2003,Independent,2001
Angus S. King,Maine,1995 - 2003,Independent,2002
Angus S. King,Maine,1995 - 2003,Independent,2003
John G. Rowland,Connecticut,1995 - 2004,Republican,1995
John G. Rowland,Connecticut,1995 - 2004,Republican,1996
John G. Rowland,Connecticut,1995 - 2004,Republican,1997
John G. Rowland,Connecticut,1995 - 2004,Republican,1998
John G. Rowland,Connecticut,1995 - 2004,Republican,1999
John G. Rowland,Connecticut,1995 - 2004,Republican,2000
John G. Rowland,Connecticut,1995 - 2004,Republican,2001
John G. Rowland,Connecticut,1995 - 2004,Republican,2002
John G. Rowland,Connecticut,1995 - 2004,Republican,2003
John G. Rowland,Connecticut,1995 - 2004,Republican,2004
Lincoln Almond,Rhode Island,1995 - 2003,Republican,1995
Lincoln Almond,Rhode Island,1995 - 2003,Republican,1996
Lincoln Almond,Rhode Island,1995 - 2003,Republican,1997
Lincoln Almond,Rhode Island,1995 - 2003,Republican,1998
Lincoln Almond,Rhode Island,1995 - 2003,Republican,1999
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2000
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2001
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2002
Lincoln Almond,Rhode Island,1995 - 2003,Republican,2003
Philip E. Batt,Idaho,1995 - 1999,Republican,1995
Philip E. Batt,Idaho,1995 - 1999,Republican,1996
Philip E. Batt,Idaho,1995 - 1999,Republican,1997
Philip E. Batt,Idaho,1995 - 1999,Republican,1998
Philip E. Batt,Idaho,1995 - 1999,Republican,1999
Jim Geringer,Wyoming,1995 - 2003,Republican,1995
Jim Geringer,Wyoming,1995 - 2003,Republican,1996
Jim Geringer,Wyoming,1995 - 2003,Republican,1997
Jim Geringer,Wyoming,1995 - 2003,Republican,1998
Jim Geringer,Wyoming,1995 - 2003,Republican,1999
Jim Geringer,Wyoming,1995 - 2003,Republican,2000
Jim Geringer,Wyoming,1995 - 2003,Republican,2001
Jim Geringer,Wyoming,1995 - 2003,Republican,2002
Jim Geringer,Wyoming,1995 - 2003,Republican,2003
Gary E. Johnson,New Mexico,1995 - 2003,Republican,1995
Gary E. Johnson,New Mexico,1995 - 2003,Republican,1996
Gary E. Johnson,New Mexico,1995 - 2003,Republican,1997
Gary E. Johnson,New Mexico,1995 - 2003,Republican,1998
Gary E. Johnson,New Mexico,1995 - 2003,Republican,1999
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2000
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2001
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2002
Gary E. Johnson,New Mexico,1995 - 2003,Republican,2003
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,1995
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,1996
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,1997
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,1998
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,1999
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2000
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2001
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2002
Carl T. C. Gutierrez,Guam,1995 - 2003,Democrat,2003
George E. Pataki,New York,1995 - 2007,Republican,1995
George E. Pataki,New York,1995 - 2007,Republican,1996
George E. Pataki,New York,1995 - 2007,Republican,1997
George E. Pataki,New York,1995 - 2007,Republican,1998
George E. Pataki,New York,1995 - 2007,Republican,1999
George E. Pataki,New York,1995 - 2007,Republican,2000
George E. Pataki,New York,1995 - 2007,Republican,2001
George E. Pataki,New York,1995 - 2007,Republican,2002
George E. Pataki,New York,1995 - 2007,Republican,2003
George E. Pataki,New York,1995 - 2007,Republican,2004
George E. Pataki,New York,1995 - 2007,Republican,2005
George E. Pataki,New York,1995 - 2007,Republican,2006
George E. Pataki,New York,1995 - 2007,Republican,2007
Tony Knowles,Alaska,1994 - 2002,Democrat,1994
Tony Knowles,Alaska,1994 - 2002,Democrat,1995
Tony Knowles,Alaska,1994 - 2002,Democrat,1996
Tony Knowles,Alaska,1994 - 2002,Democrat,1997
Tony Knowles,Alaska,1994 - 2002,Democrat,1998
Tony Knowles,Alaska,1994 - 2002,Democrat,1999
Tony Knowles,Alaska,1994 - 2002,Democrat,2000
Tony Knowles,Alaska,1994 - 2002,Democrat,2001
Tony Knowles,Alaska,1994 - 2002,Democrat,2002
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1994
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1995
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1996
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1997
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1998
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,1999
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,2000
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,2001
Benjamin J. Cayetano,Hawaii,1994 - 2002,Democrat,2002
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1994
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1995
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1996
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1997
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1998
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,1999
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,2000
Christine Todd Whitman,New Jersey,1994 - 2001,Republican,2001
George Allen,Virginia,1994 - 1998,Republican,1994
George Allen,Virginia,1994 - 1998,Republican,1995
George Allen,Virginia,1994 - 1998,Republican,1996
George Allen,Virginia,1994 - 1998,Republican,1997
George Allen,Virginia,1994 - 1998,Republican,1998
Froilan C. Tenorio,Northern Mariana Islands,1994 - 1998,Democrat,1994
Froilan C. Tenorio,Northern Mariana Islands,1994 - 1998,Democrat,1995
Froilan C. Tenorio,Northern Mariana Islands,1994 - 1998,Democrat,1996
Froilan C. Tenorio,Northern Mariana Islands,1994 - 1998,Democrat,1997
Froilan C. Tenorio,Northern Mariana Islands,1994 - 1998,Democrat,1998
"James Elisha Folsom, Jr.",Alabama,1993 - 1995,Democrat,1993
"James Elisha Folsom, Jr.",Alabama,1993 - 1995,Democrat,1994
"James Elisha Folsom, Jr.",Alabama,1993 - 1995,Democrat,1995
Walter D. Miller,South Dakota,1993 - 1995,Republican,1993
Walter D. Miller,South Dakota,1993 - 1995,Republican,1994
Walter D. Miller,South Dakota,1993 - 1995,Republican,1995
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1993
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1994
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1995
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1996
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1997
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1998
Thomas R. Carper,Delaware,1993 - 2001,Democrat,1999
Thomas R. Carper,Delaware,1993 - 2001,Democrat,2000
Thomas R. Carper,Delaware,1993 - 2001,Democrat,2001
Michael Lowry,Washington,1993 - 1997,Democrat,1993
Michael Lowry,Washington,1993 - 1997,Democrat,1994
Michael Lowry,Washington,1993 - 1997,Democrat,1995
Michael Lowry,Washington,1993 - 1997,Democrat,1996
Michael Lowry,Washington,1993 - 1997,Democrat,1997
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1993
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1994
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1995
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1996
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1997
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1998
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,1999
Mel Eugene Carnahan,Missouri,1993 - 2000,Democrat,2000
James B. Hunt,North Carolina,1993 - 2001,Democrat,1993
James B. Hunt,North Carolina,1993 - 2001,Democrat,1994
